district,neighborhood,registered,voted,valid,akp,chp,sp
BAGCILAR,HURRIYET MAH.,346,271,257,127,123,3
BAGCILAR,HURRIYET MAH.,346,276,263,134,123,1
BAGCILAR,HURRIYET MAH.,346,279,274,130,139,2
BAGCILAR,HURRIYET MAH.,350,288,284,137,141,4
BAGCILAR,HURRIYET MAH.,346,287,284,122,150,9
BAGCILAR,HURRIYET MAH.,345,295,291,144,138,4
BAGCILAR,HURRIYET MAH.,346,294,283,159,118,1
BAGCILAR,HURRIYET MAH.,345,275,269,126,136,5
BAGCILAR,HURRIYET MAH.,346,298,289,158,125,4
BAGCILAR,HURRIYET MAH.,346,287,283,136,136,3
BAGCILAR,HURRIYET MAH.,345,291,276,104,161,7
BAGCILAR,HURRIYET MAH.,346,289,280,124,149,4
BAGCILAR,HURRIYET MAH.,346,304,290,153,126,3
BAGCILAR,HURRIYET MAH.,346,288,270,142,117,4
BAGCILAR,HURRIYET MAH.,346,282,274,139,133,0
BAGCILAR,HURRIYET MAH.,346,296,287,124,152,3
BAGCILAR,HURRIYET MAH.,345,299,291,128,153,7
BAGCILAR,HURRIYET MAH.,346,285,276,158,103,8
BAGCILAR,HURRIYET MAH.,345,285,271,122,144,3
BAGCILAR,HURRIYET MAH.,345,297,286,120,153,4
BAGCILAR,HURRIYET MAH.,345,299,285,141,131,4
BAGCILAR,HURRIYET MAH.,345,296,283,138,140,1
BAGCILAR,KAZIM KARABEKIR MAH.,341,263,254,162,87,1
BAGCILAR,KAZIM KARABEKIR MAH.,341,278,260,166,89,3
BAGCILAR,KAZIM KARABEKIR MAH.,342,278,256,147,98,7
BAGCILAR,KAZIM KARABEKIR MAH.,342,287,271,175,88,2
BAGCILAR,KAZIM KARABEKIR MAH.,342,280,254,166,79,4
BAGCILAR,KAZIM KARABEKIR MAH.,342,278,266,151,107,4
BAGCILAR,KAZIM KARABEKIR MAH.,341,292,283,181,94,4
BAGCILAR,KAZIM KARABEKIR MAH.,342,298,283,145,133,2
BAGCILAR,KAZIM KARABEKIR MAH.,341,292,285,176,101,5
BAGCILAR,KAZIM KARABEKIR MAH.,344,296,282,165,104,8
BAGCILAR,KAZIM KARABEKIR MAH.,341,273,261,162,86,7
BAGCILAR,KAZIM KARABEKIR MAH.,341,287,278,161,105,7
BAGCILAR,KAZIM KARABEKIR MAH.,341,280,273,146,117,8
BAGCILAR,KAZIM KARABEKIR MAH.,341,297,292,168,112,6
BAGCILAR,KAZIM KARABEKIR MAH.,342,278,268,176,85,5
BAGCILAR,KAZIM KARABEKIR MAH.,340,287,281,178,97,3
BAGCILAR,KAZIM KARABEKIR MAH.,341,286,282,168,103,5
BAGCILAR,KAZIM KARABEKIR MAH.,340,283,272,170,96,2
BAGCILAR,KAZIM KARABEKIR MAH.,340,281,264,164,93,0
BAGCILAR,KAZIM KARABEKIR MAH.,341,297,286,170,103,6
BAGCILAR,KAZIM KARABEKIR MAH.,340,256,249,154,88,6
BAGCILAR,KAZIM KARABEKIR MAH.,341,306,297,191,103,1
BAGCILAR,KAZIM KARABEKIR MAH.,341,292,276,181,91,4
BAGCILAR,KAZIM KARABEKIR MAH.,341,295,291,186,97,5
BAGCILAR,KAZIM KARABEKIR MAH.,341,300,284,159,116,4
BAGCILAR,KAZIM KARABEKIR MAH.,341,276,270,154,97,9
BAGCILAR,KAZIM KARABEKIR MAH.,341,286,283,176,100,4
BAGCILAR,KAZIM KARABEKIR MAH.,340,295,285,172,103,4
BAGCILAR,KAZIM KARABEKIR MAH.,340,309,301,197,94,7
BAGCILAR,KAZIM KARABEKIR MAH.,341,280,274,160,106,5
BAGCILAR,KAZIM KARABEKIR MAH.,340,296,287,188,89,8
BAGCILAR,KAZIM KARABEKIR MAH.,342,291,284,189,77,11
BAGCILAR,KAZIM KARABEKIR MAH.,342,279,268,174,89,3
BAGCILAR,KAZIM KARABEKIR MAH.,340,292,276,155,117,0
BAGCILAR,KAZIM KARABEKIR MAH.,341,288,267,190,73,3
BAGCILAR,KAZIM KARABEKIR MAH.,339,281,263,150,101,5
BAGCILAR,KAZIM KARABEKIR MAH.,340,302,285,158,119,4
BAGCILAR,KAZIM KARABEKIR MAH.,342,288,278,183,82,8
BAGCILAR,KAZIM KARABEKIR MAH.,339,280,273,170,95,3
BAGCILAR,KAZIM KARABEKIR MAH.,339,294,283,155,116,7
BAGCILAR,KAZIM KARABEKIR MAH.,338,284,270,158,103,5
BAGCILAR,KAZIM KARABEKIR MAH.,340,273,263,151,102,6
BAGCILAR,KAZIM KARABEKIR MAH.,339,290,279,171,102,4
BAGCILAR,KAZIM KARABEKIR MAH.,338,290,276,183,87,4
BAGCILAR,KAZIM KARABEKIR MAH.,338,291,282,170,100,6
BAGCILAR,KAZIM KARABEKIR MAH.,338,294,285,180,100,3
BAGCILAR,KAZIM KARABEKIR MAH.,338,295,278,151,117,7
BAGCILAR,KAZIM KARABEKIR MAH.,338,289,280,154,122,3
BAGCILAR,KAZIM KARABEKIR MAH.,338,278,269,156,104,4
BAGCILAR,KAZIM KARABEKIR MAH.,339,279,269,166,94,0
BAGCILAR,KAZIM KARABEKIR MAH.,339,287,278,169,97,9
BAGCILAR,KAZIM KARABEKIR MAH.,339,288,276,169,99,3
BAGCILAR,KAZIM KARABEKIR MAH.,339,277,269,162,103,2
BAGCILAR,KAZIM KARABEKIR MAH.,338,291,279,178,95,4
BAGCILAR,KAZIM KARABEKIR MAH.,341,293,287,167,117,0
BAGCILAR,KAZIM KARABEKIR MAH.,339,279,272,147,120,3
BAGCILAR,KIRAZLI MAH.,343,293,276,173,92,2
BAGCILAR,KIRAZLI MAH.,344,260,251,161,79,4
BAGCILAR,KIRAZLI MAH.,350,290,276,140,121,4
BAGCILAR,KIRAZLI MAH.,342,296,284,161,111,5
BAGCILAR,KIRAZLI MAH.,342,292,285,179,92,4
BAGCILAR,KIRAZLI MAH.,342,289,281,189,84,1
BAGCILAR,KIRAZLI MAH.,341,294,280,169,99,5
BAGCILAR,KIRAZLI MAH.,346,282,271,181,86,3
BAGCILAR,KIRAZLI MAH.,343,284,275,164,105,3
BAGCILAR,KIRAZLI MAH.,342,290,274,192,77,4
BAGCILAR,KIRAZLI MAH.,341,287,280,166,106,5
BAGCILAR,KIRAZLI MAH.,342,277,268,174,85,3
BAGCILAR,KIRAZLI MAH.,342,299,295,181,106,7
BAGCILAR,KIRAZLI MAH.,342,295,279,166,102,7
BAGCILAR,KIRAZLI MAH.,342,297,293,201,86,4
BAGCILAR,KIRAZLI MAH.,342,279,264,183,75,2
BAGCILAR,KIRAZLI MAH.,342,285,272,183,82,3
BAGCILAR,KIRAZLI MAH.,342,293,280,174,98,1
BAGCILAR,KIRAZLI MAH.,341,294,288,196,88,3
BAGCILAR,KIRAZLI MAH.,342,299,294,190,95,4
BAGCILAR,KIRAZLI MAH.,342,294,281,154,119,3
BAGCILAR,KIRAZLI MAH.,341,284,275,171,102,0
BAGCILAR,KIRAZLI MAH.,342,290,277,177,86,5
BAGCILAR,KIRAZLI MAH.,342,291,279,180,95,1
BAGCILAR,KIRAZLI MAH.,342,279,265,163,92,7
BAGCILAR,KIRAZLI MAH.,341,293,283,165,111,5
BAGCILAR,KIRAZLI MAH.,342,284,272,162,103,4
BAGCILAR,KIRAZLI MAH.,341,298,285,164,110,10
BAGCILAR,KIRAZLI MAH.,341,302,290,168,114,5
BAGCILAR,KIRAZLI MAH.,350,278,265,150,103,7
BAGCILAR,KIRAZLI MAH.,346,274,250,117,121,9
BAGCILAR,KIRAZLI MAH.,350,303,295,163,122,4
BAGCILAR,KIRAZLI MAH.,346,293,278,145,119,9
BAGCILAR,KIRAZLI MAH.,346,285,274,158,103,8
BAGCILAR,KIRAZLI MAH.,350,305,291,198,87,4
BAGCILAR,KIRAZLI MAH.,345,281,270,164,96,6
BAGCILAR,KIRAZLI MAH.,347,308,297,181,107,7
BAGCILAR,KIRAZLI MAH.,345,289,276,162,102,7
BAGCILAR,KIRAZLI MAH.,345,298,279,162,108,7
BAGCILAR,KIRAZLI MAH.,346,284,267,180,73,6
BAGCILAR,KIRAZLI MAH.,346,275,265,169,92,3
BAGCILAR,KIRAZLI MAH.,346,285,273,165,97,6
BAGCILAR,KIRAZLI MAH.,344,301,291,163,120,5
BAGCILAR,KIRAZLI MAH.,346,281,268,177,82,6
BAGCILAR,KIRAZLI MAH.,346,290,283,156,116,7
BAGCILAR,KIRAZLI MAH.,345,301,292,148,129,8
BAGCILAR,KIRAZLI MAH.,346,306,280,170,101,6
BAGCILAR,KIRAZLI MAH.,345,292,284,137,129,13
BAGCILAR,KIRAZLI MAH.,346,284,276,143,122,9
BAGCILAR,KIRAZLI MAH.,346,267,254,132,111,6
BAGCILAR,KIRAZLI MAH.,345,284,273,161,106,4
BAGCILAR,KIRAZLI MAH.,346,305,293,175,115,2
BAGCILAR,KIRAZLI MAH.,344,281,273,173,90,5
BAGCILAR,KIRAZLI MAH.,345,288,277,189,81,5
BAGCILAR,KIRAZLI MAH.,345,295,288,169,109,6
BAGCILAR,KIRAZLI MAH.,345,300,290,180,100,7
BAGCILAR,KIRAZLI MAH.,346,278,242,126,108,3
BAGCILAR,KIRAZLI MAH.,350,270,256,134,112,7
BAGCILAR,KIRAZLI MAH.,346,259,249,157,86,4
BAGCILAR,KIRAZLI MAH.,344,288,278,153,116,5
BAGCILAR,KIRAZLI MAH.,345,287,276,152,117,2
BAGCILAR,KIRAZLI MAH.,345,282,269,152,115,1
BAGCILAR,KIRAZLI MAH.,344,313,295,143,144,5
BAGCILAR,KIRAZLI MAH.,346,306,291,173,112,1
BAGCILAR,KIRAZLI MAH.,345,308,291,164,118,2
BAGCILAR,KIRAZLI MAH.,346,305,288,171,108,6
BAGCILAR,KIRAZLI MAH.,346,300,285,177,99,3
BAGCILAR,KIRAZLI MAH.,346,287,275,142,129,0
BAGCILAR,KIRAZLI MAH.,346,288,277,109,157,6
BAGCILAR,KIRAZLI MAH.,346,289,271,157,109,4
BAGCILAR,KIRAZLI MAH.,345,300,292,161,121,8
BAGCILAR,KIRAZLI MAH.,345,280,267,136,128,0
BAGCILAR,KIRAZLI MAH.,346,300,291,162,121,5
BAGCILAR,KIRAZLI MAH.,345,286,268,155,103,6
BAGCILAR,KIRAZLI MAH.,346,279,264,144,112,2
BAGCILAR,KIRAZLI MAH.,346,252,252,154,96,1
BAGCILAR,KIRAZLI MAH.,346,284,278,167,105,5
BAGCILAR,KIRAZLI MAH.,345,295,282,156,114,4
BAGCILAR,KIRAZLI MAH.,346,288,279,178,89,9
BAGCILAR,KIRAZLI MAH.,345,304,287,156,120,9
BAGCILAR,KIRAZLI MAH.,345,296,279,178,94,4
BAGCILAR,KIRAZLI MAH.,346,290,280,169,107,1
BAGCILAR,KIRAZLI MAH.,346,290,271,158,107,3
BAGCILAR,YILDIZTEPE MAH.,350,286,276,156,108,7
BAGCILAR,YILDIZTEPE MAH.,344,274,262,156,103,3
BAGCILAR,YILDIZTEPE MAH.,345,290,278,163,107,6
BAGCILAR,YILDIZTEPE MAH.,345,297,282,158,112,8
BAGCILAR,YILDIZTEPE MAH.,345,283,276,148,119,5
BAGCILAR,YILDIZTEPE MAH.,344,296,278,175,98,3
BAGCILAR,YILDIZTEPE MAH.,344,297,289,175,111,3
BAGCILAR,YILDIZTEPE MAH.,345,279,262,152,100,4
BAGCILAR,YILDIZTEPE MAH.,345,292,281,165,109,4
BAGCILAR,YILDIZTEPE MAH.,343,291,283,202,77,2
BAGCILAR,YILDIZTEPE MAH.,345,275,269,162,94,8
BAGCILAR,YILDIZTEPE MAH.,344,293,285,167,113,3
BAGCILAR,YILDIZTEPE MAH.,345,278,255,136,110,5
BAGCILAR,YILDIZTEPE MAH.,345,280,273,150,116,4
BAGCILAR,YILDIZTEPE MAH.,344,287,279,173,100,3
BAGCILAR,YILDIZTEPE MAH.,344,292,282,162,110,7
BAGCILAR,YILDIZTEPE MAH.,345,307,290,174,111,3
BAGCILAR,YILDIZTEPE MAH.,343,306,288,183,100,4
BAGCILAR,YILDIZTEPE MAH.,344,290,282,150,123,7
BAGCILAR,YILDIZTEPE MAH.,345,279,271,165,97,3
BAGCILAR,YILDIZTEPE MAH.,344,286,276,161,100,4
BAGCILAR,YILDIZTEPE MAH.,345,291,287,175,108,2
BAGCILAR,YILDIZTEPE MAH.,344,296,284,172,101,5
BAGCILAR,YILDIZTEPE MAH.,350,288,277,168,101,5
BAGCILAR,YILDIZTEPE MAH.,343,256,247,152,90,3
BAGCILAR,YILDIZTEPE MAH.,342,251,233,151,74,7
BAGCILAR,YILDIZTEPE MAH.,343,275,259,153,100,4
BAGCILAR,YILDIZTEPE MAH.,345,293,280,174,99,2
BAGCILAR,YILDIZTEPE MAH.,343,274,259,148,104,5
BAGCILAR,YILDIZTEPE MAH.,342,286,276,172,99,2
BAGCILAR,YILDIZTEPE MAH.,342,268,248,159,82,5
BAGCILAR,YILDIZTEPE MAH.,343,300,289,178,103,2
BAGCILAR,YILDIZTEPE MAH.,343,285,274,171,97,3
BAGCILAR,YILDIZTEPE MAH.,342,274,254,146,104,1
BAGCILAR,YILDIZTEPE MAH.,343,286,279,200,74,3
BAGCILAR,YILDIZTEPE MAH.,342,284,265,175,83,5
BAGCILAR,YILDIZTEPE MAH.,343,281,267,143,114,4
BAGCILAR,YILDIZTEPE MAH.,345,291,280,188,82,3
BAGCILAR,YILDIZTEPE MAH.,342,277,266,165,95,2
BAGCILAR,YILDIZTEPE MAH.,343,274,267,156,106,2
BAGCILAR,YILDIZTEPE MAH.,343,268,264,158,98,2
BAGCILAR,YILDIZTEPE MAH.,343,288,277,162,110,1
BAGCILAR,YILDIZTEPE MAH.,342,275,274,157,107,3
BAGCILAR,YILDIZTEPE MAH.,343,277,272,185,85,0
BAGCILAR,YILDIZTEPE MAH.,343,266,254,166,83,3
BAGCILAR,YILDIZTEPE MAH.,342,291,283,198,78,5
BAGCILAR,YILDIZTEPE MAH.,342,286,274,169,93,6
BAGCILAR,YILDIZTEPE MAH.,345,292,289,154,129,3
BAGCILAR,YILDIZTEPE MAH.,343,273,265,161,88,8
BAGCILAR,YILDIZTEPE MAH.,342,282,277,178,89,5
BAGCILAR,YILDIZTEPE MAH.,341,247,240,149,83,2
BAGCILAR,YILDIZTEPE MAH.,341,271,257,168,81,2
BAGCILAR,YILDIZTEPE MAH.,341,268,256,161,82,6
BAGCILAR,YILDIZTEPE MAH.,342,283,277,188,83,3
BAGCILAR,YILDIZTEPE MAH.,350,294,275,187,77,9
BAGCILAR,YILDIZTEPE MAH.,340,293,282,175,99,7
BAGCILAR,YILDIZTEPE MAH.,350,274,256,162,89,1
BAGCILAR,YILDIZTEPE MAH.,341,297,283,179,98,2
BAGCILAR,YILDIZTEPE MAH.,340,278,271,179,81,5
BAGCILAR,YILDIZTEPE MAH.,339,302,296,188,102,5
BAGCILAR,YILDIZTEPE MAH.,341,279,271,166,94,6
BAGCILAR,YILDIZTEPE MAH.,342,291,277,194,75,4
BAGCILAR,YILDIZTEPE MAH.,341,293,286,195,83,2
BAGCILAR,YILDIZTEPE MAH.,343,295,288,210,71,3
BAGCILAR,YILDIZTEPE MAH.,340,302,299,186,106,3
BAGCILAR,YILDIZTEPE MAH.,341,280,273,197,70,3
BAGCILAR,YILDIZTEPE MAH.,341,292,278,187,83,4
BAGCILAR,YILDIZTEPE MAH.,341,274,267,178,84,0
BAGCILAR,YILDIZTEPE MAH.,340,280,264,162,89,10
BAGCILAR,YILDIZTEPE MAH.,340,286,279,174,97,4
BAGCILAR,YILDIZTEPE MAH.,341,295,283,182,92,6
BAGCILAR,YILDIZTEPE MAH.,340,276,267,166,90,6
BAGCILAR,YILDIZTEPE MAH.,340,286,280,190,84,2
BAGCILAR,YILDIZTEPE MAH.,341,303,294,191,94,8
BAGCILAR,YILDIZTEPE MAH.,340,275,266,175,85,1
BAGCILAR,YILDIZTEPE MAH.,341,294,283,188,85,4
BAGCILAR,YILDIZTEPE MAH.,341,295,276,186,83,4
BAGCILAR,YILDIZTEPE MAH.,342,277,269,181,76,6
BAGCILAR,DEMIRKAPI MAH.,346,279,269,161,97,5
BAGCILAR,DEMIRKAPI MAH.,350,275,262,138,115,3
BAGCILAR,DEMIRKAPI MAH.,350,277,254,130,117,6
BAGCILAR,DEMIRKAPI MAH.,346,309,302,169,122,4
BAGCILAR,DEMIRKAPI MAH.,350,293,281,152,117,9
BAGCILAR,DEMIRKAPI MAH.,346,281,271,149,116,3
BAGCILAR,DEMIRKAPI MAH.,346,276,259,146,108,4
BAGCILAR,DEMIRKAPI MAH.,346,292,272,168,97,2
BAGCILAR,DEMIRKAPI MAH.,346,291,278,148,119,5
BAGCILAR,DEMIRKAPI MAH.,346,290,279,166,109,2
BAGCILAR,DEMIRKAPI MAH.,347,295,285,168,106,7
BAGCILAR,DEMIRKAPI MAH.,346,300,288,158,116,5
BAGCILAR,DEMIRKAPI MAH.,345,296,288,179,104,3
BAGCILAR,DEMIRKAPI MAH.,350,282,261,161,97,2
BAGCILAR,DEMIRKAPI MAH.,346,296,290,178,104,4
BAGCILAR,DEMIRKAPI MAH.,350,295,283,133,138,7
BAGCILAR,DEMIRKAPI MAH.,347,284,279,159,113,1
BAGCILAR,DEMIRKAPI MAH.,346,297,280,153,121,3
BAGCILAR,DEMIRKAPI MAH.,347,288,281,144,129,5
BAGCILAR,DEMIRKAPI MAH.,346,294,289,159,123,4
BAGCILAR,DEMIRKAPI MAH.,346,281,272,166,95,8
BAGCILAR,DEMIRKAPI MAH.,347,271,249,123,121,2
BAGCILAR,DEMIRKAPI MAH.,347,285,267,152,105,4
BAGCILAR,DEMIRKAPI MAH.,347,299,287,139,143,3
BAGCILAR,DEMIRKAPI MAH.,345,259,247,127,115,3
BAGCILAR,DEMIRKAPI MAH.,346,292,283,148,128,4
BAGCILAR,DEMIRKAPI MAH.,347,293,283,154,120,4
BAGCILAR,DEMIRKAPI MAH.,346,281,270,172,80,8
BAGCILAR,DEMIRKAPI MAH.,345,248,236,131,98,4
BAGCILAR,DEMIRKAPI MAH.,345,276,270,134,133,2
BAGCILAR,DEMIRKAPI MAH.,346,304,286,164,120,2
BAGCILAR,DEMIRKAPI MAH.,347,282,270,151,115,2
BAGCILAR,DEMIRKAPI MAH.,346,302,288,181,95,9
BAGCILAR,DEMIRKAPI MAH.,346,285,269,154,106,3
BAGCILAR,DEMIRKAPI MAH.,347,276,260,137,104,11
BAGCILAR,DEMIRKAPI MAH.,346,280,273,149,117,3
BAGCILAR,DEMIRKAPI MAH.,346,299,289,162,119,1
BAGCILAR,DEMIRKAPI MAH.,341,292,275,174,93,4
BAGCILAR,DEMIRKAPI MAH.,341,274,255,172,77,1
BAGCILAR,DEMIRKAPI MAH.,342,272,257,187,63,0
BAGCILAR,DEMIRKAPI MAH.,341,277,268,175,81,4
BAGCILAR,DEMIRKAPI MAH.,342,278,274,200,69,3
BAGCILAR,DEMIRKAPI MAH.,342,285,277,200,71,2
BAGCILAR,DEMIRKAPI MAH.,341,285,278,165,103,9
BAGCILAR,DEMIRKAPI MAH.,341,293,275,183,81,9
BAGCILAR,DEMIRKAPI MAH.,340,299,288,186,90,7
BAGCILAR,DEMIRKAPI MAH.,341,296,285,175,100,6
BAGCILAR,DEMIRKAPI MAH.,340,300,284,179,98,3
BAGCILAR,DEMIRKAPI MAH.,340,288,280,184,88,6
BAGCILAR,DEMIRKAPI MAH.,341,289,271,199,68,3
BAGCILAR,DEMIRKAPI MAH.,341,286,271,188,71,5
BAGCILAR,DEMIRKAPI MAH.,341,273,268,177,80,6
BAGCILAR,DEMIRKAPI MAH.,340,283,268,157,94,10
BAGCILAR,DEMIRKAPI MAH.,340,286,268,176,82,7
BAGCILAR,DEMIRKAPI MAH.,340,279,269,172,86,8
BAGCILAR,DEMIRKAPI MAH.,340,286,273,182,80,3
BAGCILAR,DEMIRKAPI MAH.,340,285,272,177,89,3
BAGCILAR,DEMIRKAPI MAH.,340,278,266,178,82,5
BAGCILAR,DEMIRKAPI MAH.,340,294,285,204,74,2
BAGCILAR,DEMIRKAPI MAH.,341,291,283,204,70,3
BAGCILAR,DEMIRKAPI MAH.,341,298,282,196,82,1
BAGCILAR,DEMIRKAPI MAH.,340,280,269,210,54,1
BAGCILAR,DEMIRKAPI MAH.,341,286,278,195,80,2
BAGCILAR,DEMIRKAPI MAH.,341,294,286,175,100,7
BAGCILAR,DEMIRKAPI MAH.,342,295,282,170,102,9
BAGCILAR,DEMIRKAPI MAH.,340,290,280,195,80,3
BAGCILAR,DEMIRKAPI MAH.,340,293,276,217,55,3
BAGCILAR,DEMIRKAPI MAH.,340,291,285,190,90,1
BAGCILAR,DEMIRKAPI MAH.,343,286,278,173,97,4
BAGCILAR,DEMIRKAPI MAH.,345,283,276,207,64,3
BAGCILAR,DEMIRKAPI MAH.,342,270,259,173,78,4
BAGCILAR,DEMIRKAPI MAH.,343,272,250,139,104,1
BAGCILAR,DEMIRKAPI MAH.,341,260,226,130,88,6
BAGCILAR,DEMIRKAPI MAH.,341,270,251,134,107,2
BAGCILAR,DEMIRKAPI MAH.,342,275,259,141,107,8
BAGCILAR,DEMIRKAPI MAH.,343,298,284,160,115,3
BAGCILAR,DEMIRKAPI MAH.,343,288,277,135,136,4
BAGCILAR,DEMIRKAPI MAH.,344,278,261,128,124,1
BAGCILAR,DEMIRKAPI MAH.,342,286,269,124,136,2
BAGCILAR,DEMIRKAPI MAH.,341,277,260,104,146,6
BAGCILAR,DEMIRKAPI MAH.,343,279,260,129,125,2
BAGCILAR,DEMIRKAPI MAH.,344,290,276,141,129,1
BAGCILAR,DEMIRKAPI MAH.,342,287,278,158,112,1
BAGCILAR,DEMIRKAPI MAH.,344,279,265,153,105,2
BAGCILAR,DEMIRKAPI MAH.,343,279,272,155,108,5
BAGCILAR,DEMIRKAPI MAH.,342,288,275,135,131,6
BAGCILAR,DEMIRKAPI MAH.,342,276,268,160,102,4
BAGCILAR,DEMIRKAPI MAH.,343,292,280,159,113,4
BAGCILAR,DEMIRKAPI MAH.,344,285,265,110,147,5
BAGCILAR,DEMIRKAPI MAH.,342,278,275,137,131,3
BAGCILAR,DEMIRKAPI MAH.,343,302,285,161,122,1
BAGCILAR,DEMIRKAPI MAH.,341,288,274,136,128,4
BAGCILAR,DEMIRKAPI MAH.,343,286,275,139,127,3
BAGCILAR,DEMIRKAPI MAH.,343,280,264,142,111,5
BAGCILAR,DEMIRKAPI MAH.,343,286,270,123,140,5
BAGCILAR,DEMIRKAPI MAH.,343,296,287,131,146,5
BAGCILAR,DEMIRKAPI MAH.,342,293,280,131,140,4
BAGCILAR,DEMIRKAPI MAH.,342,275,249,140,99,2
BAGCILAR,DEMIRKAPI MAH.,341,299,286,171,105,5
BAGCILAR,DEMIRKAPI MAH.,341,281,266,143,116,5
BAGCILAR,DEMIRKAPI MAH.,342,277,266,138,122,3
BAGCILAR,DEMIRKAPI MAH.,341,301,266,141,121,2
BAGCILAR,DEMIRKAPI MAH.,341,277,267,164,96,3
BAGCILAR,GUNESLI MAH.,343,253,246,169,71,6
BAGCILAR,GUNESLI MAH.,345,262,246,134,91,15
BAGCILAR,GUNESLI MAH.,343,245,229,150,68,4
BAGCILAR,GUNESLI MAH.,343,273,268,157,98,7
BAGCILAR,GUNESLI MAH.,343,300,290,185,96,5
BAGCILAR,GUNESLI MAH.,343,292,286,157,118,5
BAGCILAR,GUNESLI MAH.,342,292,287,176,107,2
BAGCILAR,GUNESLI MAH.,343,294,282,148,124,6
BAGCILAR,GUNESLI MAH.,342,278,269,166,91,7
BAGCILAR,GUNESLI MAH.,342,283,275,168,99,6
BAGCILAR,GUNESLI MAH.,342,288,286,184,95,6
BAGCILAR,GUNESLI MAH.,343,281,273,172,91,7
BAGCILAR,GUNESLI MAH.,342,289,285,176,94,5
BAGCILAR,GUNESLI MAH.,342,283,274,181,85,6
BAGCILAR,GUNESLI MAH.,343,289,276,168,102,5
BAGCILAR,GUNESLI MAH.,342,255,254,150,97,4
BAGCILAR,GUNESLI MAH.,343,277,269,170,88,4
BAGCILAR,GUNESLI MAH.,343,276,261,160,98,3
BAGCILAR,GUNESLI MAH.,342,275,251,173,74,4
BAGCILAR,GUNESLI MAH.,343,288,271,170,89,2
BAGCILAR,GUNESLI MAH.,343,283,280,186,85,7
BAGCILAR,GUNESLI MAH.,341,293,282,172,100,8
BAGCILAR,GUNESLI MAH.,342,286,277,163,103,5
BAGCILAR,GUNESLI MAH.,342,281,267,160,99,7
BAGCILAR,GUNESLI MAH.,343,267,258,151,98,4
BAGCILAR,GUNESLI MAH.,342,270,263,159,99,4
BAGCILAR,GUNESLI MAH.,342,280,264,152,108,2
BAGCILAR,GUNESLI MAH.,342,283,278,145,124,4
BAGCILAR,GUNESLI MAH.,342,286,272,156,107,6
BAGCILAR,GUNESLI MAH.,343,251,237,141,91,2
BAGCILAR,GUNESLI MAH.,343,268,252,161,81,5
BAGCILAR,GUNESLI MAH.,343,279,265,159,93,3
BAGCILAR,GUNESLI MAH.,343,259,251,150,90,5
BAGCILAR,GUNESLI MAH.,342,284,276,165,101,4
BAGCILAR,GUNESLI MAH.,342,273,265,181,75,8
BAGCILAR,GUNESLI MAH.,342,290,285,180,93,9
BAGCILAR,GUNESLI MAH.,342,279,272,175,90,2
BAGCILAR,GUNESLI MAH.,343,293,278,166,108,3
BAGCILAR,GUNESLI MAH.,343,273,267,169,94,4
BAGCILAR,GUNESLI MAH.,343,289,285,191,89,5
BAGCILAR,GUNESLI MAH.,350,264,257,165,81,6
BAGCILAR,GUNESLI MAH.,346,275,264,187,67,8
BAGCILAR,GUNESLI MAH.,346,297,283,201,76,4
BAGCILAR,GUNESLI MAH.,344,286,271,186,77,5
BAGCILAR,GUNESLI MAH.,346,298,284,185,88,6
BAGCILAR,GUNESLI MAH.,346,282,274,186,74,6
BAGCILAR,GUNESLI MAH.,350,281,275,174,92,8
BAGCILAR,GUNESLI MAH.,344,281,276,195,75,3
BAGCILAR,GUNESLI MAH.,346,283,276,182,86,3
BAGCILAR,GUNESLI MAH.,344,267,262,166,81,10
BAGCILAR,GUNESLI MAH.,345,299,288,192,87,6
BAGCILAR,GUNESLI MAH.,345,278,269,171,87,5
BAGCILAR,GUNESLI MAH.,345,274,257,164,84,5
BAGCILAR,GUNESLI MAH.,346,273,262,180,72,6
BAGCILAR,GUNESLI MAH.,345,293,283,176,96,5
BAGCILAR,GUNESLI MAH.,344,283,274,160,104,5
BAGCILAR,GUNESLI MAH.,344,289,276,188,80,4
BAGCILAR,GUNESLI MAH.,346,285,280,169,105,3
BAGCILAR,GUNESLI MAH.,345,276,266,164,94,3
BAGCILAR,GUNESLI MAH.,345,275,259,187,65,4
BAGCILAR,GUNESLI MAH.,344,275,269,169,93,3
BAGCILAR,GUNESLI MAH.,342,256,247,150,90,4
BAGCILAR,GUNESLI MAH.,342,236,233,125,99,8
BAGCILAR,GUNESLI MAH.,343,260,252,149,97,3
BAGCILAR,GUNESLI MAH.,342,291,279,173,97,5
BAGCILAR,GUNESLI MAH.,344,287,271,164,99,3
BAGCILAR,GUNESLI MAH.,342,291,280,154,117,4
BAGCILAR,GUNESLI MAH.,342,298,284,147,121,10
BAGCILAR,GUNESLI MAH.,343,282,276,177,96,1
BAGCILAR,GUNESLI MAH.,343,290,282,169,97,8
BAGCILAR,GUNESLI MAH.,342,285,275,170,100,2
BAGCILAR,GUNESLI MAH.,341,274,264,156,102,5
BAGCILAR,GUNESLI MAH.,342,281,269,142,114,8
BAGCILAR,GUNESLI MAH.,344,290,261,136,115,6
BAGCILAR,GUNESLI MAH.,342,291,286,188,91,3
BAGCILAR,GUNESLI MAH.,342,273,263,157,104,2
BAGCILAR,GUNESLI MAH.,341,269,266,150,112,1
