nbhd_id,district,neighborhood,registered,voted,valid,yes,nop,turnout,valid_p,yes_p,nop_p,yes_r,nop_r,yes_no
3815,USKUDAR,KANDILLI MAH.,1187,1032,1007,232,775,86.94,97.58,23.04,76.96,19.55,65.29,0.30
3816,USKUDAR,KIRAZLITEPE MAH.,9643,8642,8499,5899,2600,89.62,98.35,69.41,30.59,61.17,26.96,2.27
3817,USKUDAR,KISIKLI  MAH.,14087,12552,12308,7482,4826,89.10,98.06,60.79,39.21,53.11,34.26,1.55
3818,USKUDAR,KUCUK CAMLICA MAH.,7619,6867,6787,3653,3134,90.13,98.84,53.82,46.18,47.95,41.13,1.17
3819,USKUDAR,KUCUKSU  MAH.,14494,13019,12852,5553,7299,89.82,98.72,43.21,56.79,38.31,50.36,0.76
3820,USKUDAR,KULELI MAH.,1584,1358,1344,700,644,85.73,98.97,52.08,47.92,44.19,40.66,1.09
3821,USKUDAR,KUPLUCE  MAH.,13109,11680,11490,7604,3886,89.10,98.37,66.18,33.82,58.01,29.64,1.96
3822,USKUDAR,KUZGUNCUK  MAH.,3534,3151,3104,894,2210,89.16,98.51,28.80,71.20,25.30,62.54,0.40
3823,USKUDAR,MEHMET AKIF ERSOY MAH.,15571,14105,13875,8861,5014,90.59,98.37,63.86,36.14,56.91,32.20,1.77
3824,USKUDAR,MIMAR SINAN MAH.,9746,8412,8288,3976,4312,86.31,98.53,47.97,52.03,40.80,44.24,0.92
3825,USKUDAR,MURATREIS MAH.,11249,9876,9729,3656,6073,87.79,98.51,37.58,62.42,32.50,53.99,0.60
3826,USKUDAR,SALACAK  MAH.,7895,7040,6955,1777,5178,89.17,98.79,25.55,74.45,22.51,65.59,0.34
3827,USKUDAR,SELAMI ALI MAH.,10581,9238,9114,3792,5322,87.31,98.66,41.61,58.39,35.84,50.30,0.71
3828,USKUDAR,SELIMIYE MAH.,6041,5432,5361,1177,4184,89.92,98.69,21.95,78.05,19.48,69.26,0.28
3829,USKUDAR,SULTANTEPE MAH.,9243,8271,8155,3424,4731,89.48,98.60,41.99,58.01,37.04,51.18,0.72
3830,USKUDAR,UNALAN  MAH.,25855,23308,22968,11848,11120,90.15,98.54,51.58,48.42,45.82,43.01,1.07
3831,USKUDAR,VALIDE-I ATIK MAH.,17531,15353,15100,6299,8801,87.58,98.35,41.72,58.28,35.93,50.20,0.72
3832,USKUDAR,YAVUZTURK  MAH.,25025,22322,21874,13081,8793,89.20,97.99,59.80,40.20,52.27,35.14,1.49
3833,USKUDAR,ZEYNEP KAMIL MAH.,10462,9198,9068,3599,5469,87.92,98.59,39.69,60.31,34.40,52.27,0.66
3901,ZEYTINBURNU,BESTELSIZ MAH.,17126,15028,14779,7423,7356,87.75,98.34,50.23,49.77,43.34,42.95,1.01
3902,ZEYTINBURNU,CIRPICI MAH.,20601,17936,17666,8841,8825,87.06,98.49,50.05,49.95,42.92,42.84,1.00
3903,ZEYTINBURNU,GOKALP MAH.,14325,12391,12218,5511,6707,86.50,98.60,45.11,54.89,38.47,46.82,0.82
3904,ZEYTINBURNU,KAZLICESME MAH.,1192,918,899,443,456,77.01,97.93,49.28,50.72,37.16,38.26,0.97
3905,ZEYTINBURNU,MALTEPE MAH.,1115,1022,1009,372,637,91.66,98.73,36.87,63.13,33.36,57.13,0.58
3906,ZEYTINBURNU,MERKEZEFENDI MAH.,14218,12641,12460,6734,5726,88.91,98.57,54.04,45.96,47.36,40.27,1.18
3907,ZEYTINBURNU,NURIPASA MAH.,17758,14981,14773,8280,6493,84.36,98.61,56.05,43.95,46.63,36.56,1.28
